customer_id,predicted_purchases_holdout,p_alive,expected_avg_value,clv_12m,p_churn,fold,value_at_risk,expected_save,selected_uniform_cost,variable_cost,expected_save_variable_cost,selected_variable_cost_knapsack
12346,0.8342888600004149,0.9203460333809544,34878.644692172435,16112.955544241075,0.4420757949352264,train,7123.147630976337,1419.6295261952673,True,5.606656864158529,1419.0228693311087,True
12347,2.130916830958465,0.9296092075125948,595.962654769152,696.4415464924662,0.11969987973570824,train,83.36396935809886,11.67279387161977,False,6.14132587889931,10.531467992720462,False
12348,1.917943670190097,0.9348060765281961,392.16133131177793,413.22942210988515,0.15188405513763428,test,62.76296033223055,7.55259206644611,False,6.070879145661385,6.481712920784725,False
12349,0.5523966706459442,0.8717018728501956,1023.231617344829,312.9901904174407,0.42228121161460874,train,132.16987683296398,21.433975366592797,True,5.439799975860704,20.994175390732092,True
12350,0.6081799783207076,1.0,434.4814601229518,145.0014322984572,0.7030795097351075,train,101.94753593128766,15.389507186257532,True,5.475103091309796,14.914404094947736,True
12351,0.4551400754513938,1.0,434.4814601229518,108.9797460452973,0.7030795097351075,train,76.62142642058414,10.32428528411683,False,5.375102167777524,9.949183116339306,False
12352,3.2047731781130784,0.8675168159238618,179.50758523365334,314.77324886864176,0.26168313920497893,train,82.37085190169626,11.474170380339253,False,6.436220350974343,10.037950029364909,False
12353,0.9697986911911958,0.9460520023961294,151.1862073138564,80.675441937158,0.5302907645702362,train,42.78144178689721,3.556288357379442,False,5.677931350315837,2.878357007063605,False
12354,1.021755769579074,1.0,434.4814601229518,241.42631614662875,0.4163025259971619,train,100.50638525403095,15.101277050806189,True,5.703966326744673,14.397310724061516,True
12355,0.6288992682646452,0.9463925638468363,454.87137671220773,158.31897331419813,0.5385205388069153,train,85.25801881251962,12.051603762503927,False,5.487904491160771,11.563699271343156,False
12356,2.5429661646030084,0.931792017533387,1149.4403140983945,1603.3911572124427,0.11895914003252983,test,190.73803319775504,33.14760663955101,True,6.264964275909145,31.882642363641864,True
12357,0.4333496426884885,1.0,434.4814601229518,103.83155531188956,0.597990345954895,train,62.09026768199165,7.418053536398331,False,5.360014112586546,7.058039423811785,False
12358,0.7104524810699363,0.9071699978713708,533.6658180795193,210.28152163371684,0.4572018444538116,train,96.14109954548942,14.228219909097888,True,5.536757944324659,13.691461964773229,True
12359,2.497520243725523,0.9836712320551401,656.2015108478016,906.6841675300908,0.018114506825804712,train,16.424136541572892,-1.7151726916854213,False,6.252054215596652,-2.967226907282073,False
12360,1.1891036940114783,0.9672138620386113,686.9572016938888,452.01502407913756,0.17688405364751816,train,79.95424976869839,10.990849953739678,False,5.783492187912831,10.207357765826847,False
12361,1.100944680124828,0.9401252501009071,140.53025761066752,85.66227738113635,0.44865222573280333,train,38.432571408387595,2.6865142816775194,False,5.7423870912567345,1.9441271904207849,False
12362,1.5479673570726973,0.9263672287674454,447.36123591391015,377.93246156641857,0.28706775307655336,train,108.49222255656264,16.69844451131253,True,5.935295926431894,15.763148584880636,True
12363,0.9396163524808873,1.0,434.4814601229518,222.36301006701999,0.4572018444538116,train,101.66477834094302,15.332955668188603,True,5.662490197065701,14.670465471122903,True
12365,0.6745711989468633,1.0,434.4814601229518,160.5625284226788,0.6708616375923157,test,107.71524075360104,16.54304815072021,True,5.5155571318745364,16.027491018845673,True
